EZR,CXCR4,S100A4,PDGFRB,ERMN,FA2H,RHOQ,ANLN,YES1,KIF1C,TRIP10,INPPL1,PACSIN3,APLN,HSPB2,MICALL1,COL6A2,RBP4,DOCK1,ERBB3,TMCC3,CLCA4,SCD,NFKBIA,ADORA2A,UGT8,MUC1,TF,KIF5B,ITPKB,PREX1,CYB5R2,TGFB1I1,ARAP1,SMTN,NES,GLI1,KIF5A,FLT3LG,SLC25A18,VEZF1,NDE1,SERHL2,PLEKHM2,KIF13B,IP6K3,PLXNB1,HSPA2,GALNT6,LSS,SLC45A3,MAP4K4,PRX,EBF4,DOCK5,RASGRP3,PPFIBP2,TCF15,CSRP1,CRB2,MYOT,PCOLCE,COL5A3,PLEKHB1,SLCO1A2,C10orf90,ASCL1,GIPR,MCM7,CPM,PLEKHG3,AIFM3,ADIPOR2,label
0.47269376,0.18994301,0.24893676,0.34617083,0.4482326,0.2841722,0.47449002,0.32839211,0.19605602,0.48529385,0.29462415,0.40538737,0.34278083,0.29707577,0.33839347,0.15702136,0.24668016,0.52873908,0.27340683,0.30913695,0.12011049,0.06622819,0.5745172,0.53754145,0.24088439,0.27125355,0.21373078,0.58766463,0.56352124,0.47528826,0.4156039,0.22400606,0.14682019,0.4563777,0.3068775,0.28036756,0.0932226,0.86142724,0.15650153,0.54257571,0.26635401,0.19724907,0.20421342,0.68515804,0.20307508,0.06527042,0.50659858,0.46210658,0.083345,0.45810587,0.12274654,0.55796689,0.16010284,0.33885337,0.17960829,0.17508112,0.22952873,0.07548163,0.77658454,0.2329961,0.14737488,0.25895052,0.41067775,0.7897457,0.29626304,0.17276485,0.31942469,0.10323217,0.39588642,0.1646087,0.31571664,0.61185171,0.41152584,1
0.44991217,0.0553379,0.17826453,0.32184641,0.46890714,0.25895052,0.40321746,0.23759788,0.15387478,0.54089018,0.29868805,0.35439184,0.30186117,0.20941359,0.20720714,0.13941476,0.29524085,0.35725995,0.28127155,0.30706711,0.10835566,0.0367655,0.58989394,0.48885821,0.25789985,0.18005353,0.16111599,0.50964414,0.58601415,0.44541547,0.41404149,0.16946035,0.18572368,0.38784565,0.2841722,0.32133078,0.04358803,0.71326129,0.08671085,0.51003262,0.22234199,0.14682019,0.13586858,0.55343451,0.1840019,0.04579448,0.46561104,0.30381057,0.09401691,0.38927085,0.11944413,0.5974438,0.17554008,0.34396873,0.20192797,0.18443421,0.23999524,0.08836567,0.70381122,0.18005353,0.12533673,0.25470261,0.36656717,0.78489287,0.32406043,0.11400307,0.3753268,0.02838957,0.39908718,0.22760285,0.2326842,0.56723346,0.37057906,0
0.52675845,0.15281097,0.21514247,0.40061157,0.43390556,0.30554349,0.45342844,0.26784087,0.21337575,0.43828742,0.32406043,0.46613292,0.33513374,0.37934586,0.2494956,0.23820085,0.30322843,0.55028509,0.30342273,0.3623135,0.14401536,0.09000231,0.54140177,0.60578116,0.28788207,0.30283906,0.30225309,0.63339727,0.50988706,0.55534277,0.45178828,0.27900119,0.18269737,0.42507858,0.36257479,0.30322843,0.07637612,0.79734082,0.1787138,0.57464297,0.29848747,0.22200693,0.18094003,0.59865235,0.24264692,0.13765222,0.52527739,0.49738649,0.1069097,0.47037008,0.16898224,0.54385644,0.21050467,0.33685011,0.26051277,0.14401536,0.23729548,0.06999883,0.7442173,0.23850142,0.19323447,0.25973369,0.41394907,0.74479993,0.27435393,0.16608086,0.31499975,0.12404727,0.40410898,0.20904811,0.34558678,0.56099401,0.4563777,1
0.55690862,0.17960829,0.12851239,0.40896696,0.52356019,0.26759409,0.46502172,0.31445981,0.24438884,0.54569988,0.23423721,0.46363752,0.35062119,0.31589532,0.29503557,0.18952642,0.3252391,0.46775212,0.38359972,0.31959899,0.19445026,0.0932226,0.69055084,0.45892833,0.24467719,0.2893832,0.18443421,0.61855289,0.60885985,0.52632437,0.46217347,0.20383494,0.14401536,0.43670889,0.31837464,0.33716006,0.08671085,0.96631561,0.14173282,0.64358921,0.29888836,0.18313348,0.15702136,0.68695771,0.2778529,0.06137654,0.56590636,0.47699315,0.09946152,0.45651669,0.13406331,0.66821924,0.13824205,0.31872548,0.22032025,0.20115829,0.27245365,0.07367636,0.80273047,0.27388113,0.13586858,0.20868173,0.5259762,0.84786658,0.39990213,0.219299,0.36933691,0.02838957,0.44375981,0.19200869,0.34776525,0.66088236,0.38131544,1
0.6217937,0.22920947,0.27077078,0.42482099,0.50545275,0.38540226,0.50333734,0.40271986,0.27125355,0.57024164,0.34905721,0.52110435,0.38291811,0.33466219,0.33544728,0.25604314,0.26955698,0.45714057,0.37448571,0.42169459,0.16802138,0.12661513,0.65563033,0.59242544,0.29524085,0.38131544,0.21230557,0.69462208,0.56089064,0.6481859,0.52195731,0.23016519,0.16061027,0.49542018,0.43236136,0.35507975,0.15805562,0.86766778,0.21158783,0.68689856,0.32888391,0.30819968,0.1852951,0.69502875,0.31409877,0.15173951,0.65762386,0.58806723,0.13038578,0.54370178,0.20192797,0.63367238,0.27388113,0.38850513,0.30028306,0.24525222,0.27173475,0.10323217,0.88362673,0.37033146,0.18742579,0.24668016,0.54261468,0.86209467,0.32406043,0.21998061,0.42213276,0.09792612,0.41823192,0.26784087,0.38618406,0.68404659,0.49013852,0
0.47300501,0.06430645,0.22400606,0.36464873,0.48986113,0.3204674,0.46264087,0.35062119,0.21301988,0.57066185,0.33669489,0.41161977,0.31282816,0.21408496,0.24809453,0.18615103,0.21792634,0.44534061,0.30264399,0.39806217,0.14344799,0.06906508,0.60059226,0.58016476,0.23789967,0.24176826,0.17690853,0.65217886,0.60667092,0.54902137,0.46833075,0.17088556,0.12209189,0.44631086,0.35874054,0.29044625,0.13162174,0.83785167,0.18657716,0.62302512,0.27529506,0.22630495,0.17462074,0.66313724,0.24381046,0.06999883,0.57213931,0.46800957,0.16111599,0.46800957,0.15227621,0.62402102,0.11674844,0.39132961,0.22267629,0.1778139,0.23850142,0.10022333,0.83867598,0.25280535,0.21998061,0.26409551,0.4206377,0.815193,0.32674095,0.19364084,0.38970665,0.07726527,0.42905712,0.21337575,0.31802296,0.63806808,0.41885938,1
0.49701647,0.07990132,0.0932226,0.38850513,0.44991217,0.32218918,0.44345679,0.26384244,0.17135761,0.46619803,0.27599702,0.44534061,0.37852723,0.31373684,0.2937979,0.24029221,0.25088361,0.55779103,0.27052881,0.30381057,0.14847809,0.07902781,0.60385645,0.50595202,0.18700208,0.26610475,0.30876275,0.65379458,0.50093391,0.55419354,0.47571631,0.26231491,0.17276485,0.44277275,0.3467526,0.32707265,0.07726527,0.80614293,0.18572368,0.51109574,0.24893676,0.24921644,0.23577419,0.63749218,0.25307787,0.10098125,0.54191161,0.54577619,0.10978771,0.49190171,0.17554008,0.54458887,0.12011049,0.32888391,0.22334266,0.18486528,0.22499565,0.06527042,0.80220634,0.27125355,0.12661513,0.24977424,0.36007388,0.76349681,0.30127133,0.16361911,0.22532405,0.04579448,0.3647774,0.19159784,0.35452967,0.58972364,0.41376406,1
0.5336198,0.1364655,0.14173282,0.34411655,0.42593402,0.30554349,0.41921675,0.27197477,0.17229725,0.44458994,0.21514247,0.41029927,0.3373148,0.27922979,0.28592954,0.2144383,0.24553891,0.56239953,0.26485215,0.29483,0.13824205,0.07184895,0.59496946,0.52342727,0.20496751,0.29687301,0.16898224,0.61688198,0.49321054,0.46049212,0.44571453,0.20757716,0.15857007,0.43317609,0.3096965,0.35356213,0.04247242,0.81499288,0.14514364,0.53870609,0.27101236,0.219299,0.16212229,0.64714656,0.23910074,0.11120613,0.52710481,0.48801726,0.083345,0.47374937,0.13223589,0.53733973,0.19445026,0.31246313,0.20904811,0.15227621,0.23237164,0.03559739,0.75143724,0.26308063,0.10323217,0.20757716,0.46762323,0.74612742,0.25921204,0.16061027,0.28505346,0.07726527,0.33355605,0.17135761,0.34834084,0.60503989,0.40704274,0
0.58446291,0.15805562,0.23969767,0.42256964,0.53182917,0.3467526,0.48997215,0.37876158,0.25684171,0.56123491,0.3412825,0.47571631,0.39609501,0.35644611,0.36567497,0.2411796,0.25143522,0.45314449,0.36971065,0.3650344,0.18742579,0.11674844,0.76087403,0.55444569,0.254163,0.34007289,0.31445981,0.68469344,0.6001957,0.60773166,0.50959551,0.23577419,0.18700208,0.4633724,0.40887134,0.34877107,0.07458173,0.92564072,0.2144383,0.61143498,0.30573479,0.28239388,0.28194596,0.70846412,0.30244867,0.09401691,0.61238928,0.59453013,0.10907341,0.51782697,0.19605602,0.61326479,0.19843265,0.36758032,0.26485215,0.255776,0.28766638,0.10978771,0.8873263,0.38325931,0.15173951,0.27922979,0.40430637,0.88316814,0.35874054,0.22099722,0.27599702,0.06430645,0.41868038,0.23880138,0.37957893,0.62149572,0.49217533,1
0.61747247,0.19323447,0.19645476,0.43236136,0.58402093,0.40061157,0.51291435,0.41733093,0.30008461,0.54998871,0.33823985,0.48986113,0.39282858,0.32806334,0.32607533,0.27945804,0.3142794,0.4504196,0.37339729,0.43883597,0.20383494,0.18443421,0.7266202,0.56341962,0.25307787,0.40301862,0.25225881,0.79416495,0.59693056,0.63541701,0.53332976,0.3096965,0.17554008,0.47288059,0.36178956,0.39389012,0.14902664,0.89841206,0.19685245,0.685949,0.34660737,0.31643009,0.2351613,0.70171055,0.31696294,0.14173282,0.64814753,0.63214224,0.20459094,0.50545275,0.22695531,0.63394699,0.16850258,0.38629541,0.28959642,0.23969767,0.26635401,0.08076973,0.90389628,0.38085434,0.23999524,0.26128779,0.52813907,0.87866218,0.39990213,0.24496499,0.39671903,0.11742695,0.44200899,0.22334266,0.4156039,0.63972166,0.49364427,1
